gr	prop	sp	rb	mType	gType
O	0.218216318785579	M (PAB)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.161842105263158	M (PPY)	≤4.25 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.183333333333333	M (PPY)	4.25-11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
O	0.187192118226601	M (PPY)	>11.29 cM/Mb	CpG-to-TpG	gBGC+ (cpgTS)
H	0.0564511193527461	S	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
H	0.0420798636306048	S	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
H	0.0475849289684991	S	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0385507703396702	S	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.0469560499992568	S	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0692048982407727	S	>11.29 cM/Mb	T-to-A	gBGC- (TV)
G	0.0528351414241965	S	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
G	0.0465438177553306	S	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
G	0.0474832040211791	S	>11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.054202928155586	S	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
O	0.0586968381602979	S	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.0501347148172878	S	>11.29 cM/Mb	T-to-A	gBGC- (TV)
H	0.049618320610687	M	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
H	0.0523415977961433	M	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
H	0.0563564875491481	M	>11.29 cM/Mb	T-to-A	gBGC- (TV)
G	0.0427586206896552	M	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
G	0.0482142857142857	M	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
G	0.0517711171662125	M	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0687830687830688	M (PPA)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.05	M (PPA)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0340909090909091	M (PPA)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0496083550913838	M (PTE)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.0316301703163017	M (PTE)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0477611940298507	M (PTE)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0498753117206983	M (PTS)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.0449640287769784	M (PTS)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0411985018726592	M (PTS)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0549450549450549	M (PTT)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.0426008968609865	M (PTT)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0334728033472803	M (PTT)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0516605166051661	M (PTV)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
C	0.06	M (PTV)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
C	0.0506329113924051	M (PTV)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.0299003322259136	M (PAB)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
O	0.0443262411347518	M (PAB)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.0265654648956357	M (PAB)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.0513157894736842	M (PPY)	≤4.25 cM/Mb	T-to-A	gBGC- (TV)
O	0.0566666666666667	M (PPY)	4.25-11.29 cM/Mb	T-to-A	gBGC- (TV)
O	0.041871921182266	M (PPY)	>11.29 cM/Mb	T-to-A	gBGC- (TV)
H	0.272855236906204	S	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
H	0.327090747843313	S	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
H	0.275855466337245	S	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.29298247589873	S	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.277217936713188	S	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.260555363918593	S	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
G	0.283954805125636	S	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
G	0.279173094397836	S	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
G	0.283387996692821	S	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.251356834182712	S	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
O	0.246858322066463	S	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.256961383989236	S	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
H	0.300254452926209	M	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
H	0.293388429752066	M	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
H	0.221494102228047	M	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
G	0.303448275862069	M	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
G	0.282142857142857	M	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
G	0.242506811989101	M	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.253968253968254	M (PPA)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.211538461538462	M (PPA)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.261363636363636	M (PPA)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.276762402088773	M (PTE)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.21654501216545	M (PTE)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.26865671641791	M (PTE)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.314214463840399	M (PTS)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.214028776978417	M (PTS)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.260299625468165	M (PTS)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.269230769230769	M (PTT)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.266816143497758	M (PTT)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.234309623430962	M (PTT)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.291512915129151	M (PTV)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
C	0.265	M (PTV)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
C	0.236286919831224	M (PTV)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.306755260243632	M (PAB)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
O	0.267730496453901	M (PAB)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.277039848197343	M (PAB)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.294736842105263	M (PPY)	≤4.25 cM/Mb	T-to-C	gBGC+ (TV)
O	0.233333333333333	M (PPY)	4.25-11.29 cM/Mb	T-to-C	gBGC+ (TV)
O	0.25615763546798	M (PPY)	>11.29 cM/Mb	T-to-C	gBGC+ (TV)
H	0.0870022888897049	S	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
H	0.0831461709454868	S	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
H	0.0917171093267449	S	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.11547774574286	S	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.116292118131419	S	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0953863401172818	S	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0886429490796807	S	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0894845840113269	S	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0897756703334008	S	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0737691638520355	S	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0819896107592685	S	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0826105483547345	S	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
H	0.0763358778625954	M	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
H	0.0661157024793388	M	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
H	0.0760157273918742	M	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0579310344827586	M	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0535714285714286	M	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
G	0.0544959128065395	M	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0634920634920635	M (PPA)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0807692307692308	M (PPA)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0625	M (PPA)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0757180156657963	M (PTE)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0802919708029197	M (PTE)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0626865671641791	M (PTE)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0798004987531172	M (PTS)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0845323741007194	M (PTS)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0617977528089888	M (PTS)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0686813186813187	M (PTT)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0582959641255605	M (PTT)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0822873082287308	M (PTT)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0590405904059041	M (PTV)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
C	0.085	M (PTV)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
C	0.0675105485232067	M (PTV)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0852713178294574	M (PAB)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
O	0.074468085106383	M (PAB)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0702087286527514	M (PAB)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0828947368421053	M (PPY)	≤4.25 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0733333333333333	M (PPY)	4.25-11.29 cM/Mb	T-to-G	gBGC+ (TV)
O	0.0714285714285714	M (PPY)	>11.29 cM/Mb	T-to-G	gBGC+ (TV)
