dif	sp	mType	tel	ax
-0.703065844613879	H	T-to-G	22R	A
1.15782094751966	H	T-to-G	PAR1	PAR1
0.771048998601036	C	C-to-A	2R	A
1.992010658178	C	C-to-A	4R	A
-0.408724890262749	C	C-to-A	5R	A
-0.850123453780782	C	C-to-A	6L	A
0.508673832421408	C	C-to-A	6R	A
1.56215408862993	C	C-to-A	7R	A
2.38284113071857	C	C-to-A	8L	A
1.09495428593451	C	C-to-A	8R	A
0.184346120957269	C	C-to-A	9R	A
1.80371818569414	C	C-to-A	10L	A
1.30843274426933	C	C-to-A	10R	A
1.11801330953918	C	C-to-A	11L	A
1.99946672699508	C	C-to-A	11R	A
0.121520726410857	C	C-to-A	12L	A
1.01871530282064	C	C-to-A	12R	A
0.236918266805188	C	C-to-A	13R	A
0.659938074563655	C	C-to-A	14R	A
2.12789580013467	C	C-to-A	16L	A
1.58879456992426	C	C-to-A	16R	A
0.713368675414417	C	C-to-A	17L	A
1.41139256688034	C	C-to-A	18R	A
2.20447647458244	C	C-to-A	19L	A
2.50140031434828	C	C-to-A	19R	A
0.476361077073326	C	C-to-A	21R	A
1.15208853289282	C	C-to-A	22R	A
0.284513193704628	C	C-to-A	PAR1	PAR1
-0.924714070439003	C	C-to-G	2R	A
-1.27044217247942	C	C-to-G	4R	A
-0.717171829807635	C	C-to-G	5R	A
-0.924498396549531	C	C-to-G	6L	A
-0.619974596462988	C	C-to-G	6R	A
-0.7726872439652	C	C-to-G	7R	A
1.9589469591774	C	C-to-G	8L	A
0.350932820080245	C	C-to-G	8R	A
-0.258909154034897	C	C-to-G	9R	A
-0.266883398598885	C	C-to-G	10L	A
-0.889102271726254	C	C-to-G	10R	A
0.063043291467948	C	C-to-G	11L	A
-0.0771675910195709	C	C-to-G	11R	A
-0.732821444026592	C	C-to-G	12L	A
-1.0981190760173	C	C-to-G	12R	A
-0.391680444673968	C	C-to-G	13R	A
0.26723790934939	C	C-to-G	14R	A
0.840293115196386	C	C-to-G	16L	A
1.75643658011102	C	C-to-G	16R	A
0.836398562544796	C	C-to-G	17L	A
-0.922525856908699	C	C-to-G	18R	A
1.22006591805988	C	C-to-G	19L	A
0.0796994226397161	C	C-to-G	19R	A
-0.353678642952979	C	C-to-G	21R	A
