tel	sp	prop	mType	diff
6R	G	0.105561617589416	CpG-to-TpG	0.0706912181560352
6R	O	0.106002639860351	CpG-to-TpG	0.0737574209165158
7R	H	0.122201214872516	CpG-to-TpG	0.0789981815602471
7R	C	0.12082469814321	CpG-to-TpG	0.0676187956391868
7R	G	0.120218146902868	CpG-to-TpG	0.0690088822042348
7R	O	0.1212898308925	CpG-to-TpG	0.0718070403097901
8L	H	0.0873086165114948	CpG-to-TpG	0.084569499020187
8L	C	0.0989129018373657	CpG-to-TpG	0.0876687608344554
8L	G	0.101036730343059	CpG-to-TpG	0.0955827812778226
8L	O	0.120280220331122	CpG-to-TpG	0.0756823794491626
8R	H	0.122126931964314	CpG-to-TpG	0.0758265481792532
8R	C	0.121319527281455	CpG-to-TpG	0.0696645898860093
8R	G	0.123541559144562	CpG-to-TpG	0.0828019457011008
8R	O	0.117655612546446	CpG-to-TpG	0.0796195613084319
9R	H	0.141993348785649	CpG-to-TpG	0.0696447920304172
9R	C	0.137446014934529	CpG-to-TpG	0.0676788754889827
9R	G	0.135147078017605	CpG-to-TpG	0.0752744785295074
9R	O	0.132520647730137	CpG-to-TpG	0.0753099333547009
10L	H	0.10899593343758	CpG-to-TpG	0.0806380640034295
10L	C	0.104838385723974	CpG-to-TpG	0.0755424752894029
10L	G	0.10220120371225	CpG-to-TpG	0.0707074185758505
10L	O	0.105613988340649	CpG-to-TpG	0.0748406951440975
10R	H	0.134781067301633	CpG-to-TpG	0.0772757684072404
10R	C	0.13082937017395	CpG-to-TpG	0.0712378331179781
10R	G	0.129956655172092	CpG-to-TpG	0.0730275022588521
10R	O	0.127864345895466	CpG-to-TpG	0.0764219518906702
11L	H	0.141016071024676	CpG-to-TpG	0.0759830867064011
11L	C	0.152504841464744	CpG-to-TpG	0.0705341706168519
11L	G	0.143146367067726	CpG-to-TpG	0.0794166963290336
11L	O	0.142229937130115	CpG-to-TpG	0.0785950770760927
11R	H	0.0741887362929186	CpG-to-TpG	0.0819669228862653
11R	C	0.0766038057128262	CpG-to-TpG	0.0663681227460973
11R	G	0.0775953150706457	CpG-to-TpG	0.0707535498729445
11R	O	0.0751012169317681	CpG-to-TpG	0.0724126182447234
12L	H	0.0794629828168738	CpG-to-TpG	0.0692182954493657
12L	C	0.0782805359866591	CpG-to-TpG	0.0625808667242131
12L	G	0.0783746928942342	CpG-to-TpG	0.0604850740693075
12L	O	0.0746596050243473	CpG-to-TpG	0.0636787352339669
12R	H	0.127487124365638	CpG-to-TpG	0.0753089920878723
12R	C	0.128013486637786	CpG-to-TpG	0.0594040453312616
12R	G	0.128090494522449	CpG-to-TpG	0.0678352686207124
12R	O	0.126402827468682	CpG-to-TpG	0.0698844950718398
13R	H	0.130234736592981	CpG-to-TpG	0.070001683389788
13R	C	0.136466042804014	CpG-to-TpG	0.06062097057404
13R	G	0.128320304208481	CpG-to-TpG	0.0674199375422439
13R	O	0.131827573355141	CpG-to-TpG	0.0750885013925023
14R	H	0.124290849737801	CpG-to-TpG	0.0728733963814628
14R	C	0.131792145272844	CpG-to-TpG	0.0654976996435209
14R	G	0.128302505575233	CpG-to-TpG	0.0736586645677555
14R	O	0.124661780432339	CpG-to-TpG	0.0773826958333405
16L	H	0.13733406847529	CpG-to-TpG	0.0828387767122079
16L	C	0.141067179971545	CpG-to-TpG	0.0698416446479597
16L	G	0.136312690148442	CpG-to-TpG	0.0737202809130005
16L	O	0.132144864011296	CpG-to-TpG	0.0778431277676915
16R	H	0.115750538618467	CpG-to-TpG	0.0791790331772028
16R	C	0.124645663336489	CpG-to-TpG	0.0712621556708209
16R	G	0.129339830287869	CpG-to-TpG	0.0783297056088808
16R	O	0.133104029237794	CpG-to-TpG	0.0706455404366891
17L	H	0.104338490765305	CpG-to-TpG	0.0732361154499366
17L	C	0.0973212309783212	CpG-to-TpG	0.0666339783516698
17L	G	0.102712562285068	CpG-to-TpG	0.0637013719183641
17L	O	0.0959933754144311	CpG-to-TpG	0.068958552790613
18R	H	0.111964270206014	CpG-to-TpG	0.0779747216354103
18R	C	0.10988995534534	CpG-to-TpG	0.0688096928402907
18R	G	0.104200046864214	CpG-to-TpG	0.0755622122442259
18R	O	0.108263021251678	CpG-to-TpG	0.0743876086291864
19L	H	0.13571775268626	CpG-to-TpG	0.0833586524099635
19L	C	0.134136888321611	CpG-to-TpG	0.0725050836793948
19L	G	0.133135681917479	CpG-to-TpG	0.0789677497880051
19L	O	0.133345653193751	CpG-to-TpG	0.0809851570440535
19R	H	0.0944929377750769	CpG-to-TpG	0.0853743500972936
19R	C	0.0921171178241475	CpG-to-TpG	0.0774004790441719
19R	G	0.0869414628532217	CpG-to-TpG	0.0848112205788787
19R	O	0.092792968550559	CpG-to-TpG	0.0888809347605619
21R	H	0.131164965710331	CpG-to-TpG	0.0716271652617923
21R	C	0.136544449137144	CpG-to-TpG	0.0607944630515422
21R	G	0.131954274921631	CpG-to-TpG	0.0710233394538167
21R	O	0.127635242799495	CpG-to-TpG	0.0740183321877042
22R	H	0.122236636331019	CpG-to-TpG	0.0762144098260379
22R	C	0.125856964273965	CpG-to-TpG	0.0717963901133847
22R	G	0.12802909196051	CpG-to-TpG	0.0750530322196799
22R	O	0.124108023538581	CpG-to-TpG	0.0742507166454862
PAR1	H	0.0901847627333153	CpG-to-TpG	0.0703247863920781
PAR1	C	0.0901280157982075	CpG-to-TpG	0.0617591359235179
PAR1	G	0.0898694177909242	CpG-to-TpG	0.0763884279633504
PAR1	O	0.0981895793242303	CpG-to-TpG	0.0729413178592465
2R	H	0.0448834285047607	T-to-A	0.0736276841907404
2R	C	0.0418750587367512	T-to-A	0.0661950352341533
2R	G	0.0394169997276219	T-to-A	0.0645363118278175
2R	O	0.0386515157946199	T-to-A	0.0737162814661651
4R	H	0.0608644739481403	T-to-A	0.0819163066047197
4R	C	0.0724738791530765	T-to-A	0.0788821935983194
4R	G	0.0674347841883447	T-to-A	0.0768738192123238
4R	O	0.0619346588872281	T-to-A	0.0793748678393907
5R	H	0.0453865836282625	T-to-A	0.0656186691475882
5R	C	0.0514288785063148	T-to-A	0.0553569638514872
5R	G	0.0448705032626048	T-to-A	0.064798537517712
5R	O	0.0489972708737437	T-to-A	0.0696727507891243
6L	H	0.0496025255790955	T-to-A	0.0626221901030771
6L	C	0.0558437574121478	T-to-A	0.0610886802080193
6L	G	0.0520046155496126	T-to-A	0.0654472530459139
6L	O	0.0568473641638046	T-to-A	0.0667106387999484
6R	H	0.0489770630499543	T-to-A	0.0718465236881071
6R	C	0.0510272132537375	T-to-A	0.0714837284776616
6R	G	0.0470553397269714	T-to-A	0.0706912181560352
6R	O	0.0470119538278617	T-to-A	0.0737574209165158
7R	H	0.0434919201949986	T-to-A	0.0789981815602471
7R	C	0.0475155939156446	T-to-A	0.0676187956391868
7R	G	0.0445808529948185	T-to-A	0.0690088822042348
7R	O	0.0420488578549507	T-to-A	0.0718070403097901
8L	H	0.0557408322799455	T-to-A	0.084569499020187
8L	C	0.0565913964058237	T-to-A	0.0876687608344554
8L	G	0.0589446326641871	T-to-A	0.0955827812778226
8L	O	0.044247276938062	T-to-A	0.0756823794491626
8R	H	0.0401718395730047	T-to-A	0.0758265481792532
8R	C	0.0374827297006002	T-to-A	0.0696645898860093
8R	G	0.0401938895306081	T-to-A	0.0828019457011008
8R	O	0.0409987297445542	T-to-A	0.0796195613084319
9R	H	0.0357301609993852	T-to-A	0.0696447920304172
9R	C	0.039514084690195	T-to-A	0.0676788754889827
9R	G	0.0369757919117598	T-to-A	0.0752744785295074
9R	O	0.0358486612552042	T-to-A	0.0753099333547009
