param	nCall	pType	spAbbr3	POS
0.00260983571231944	9997	θ	HUM (N=29172)	1130001
0.00333535723067723	6914	θ	HUM (N=29172)	1140001
0.00366846236388337	9544	θ	HUM (N=29172)	1150001
0.0019959602919335	9867	θ	HUM (N=29172)	1200001
0.00187304944847656	8807	θ	HUM (N=29172)	1210001
0.0016791890847796	9924	θ	HUM (N=29172)	1220001
0.00335302580804505	8233	θ	HUM (N=29172)	1230001
0.00339111019910144	8488	θ	HUM (N=29172)	1240001
0.0025912041383632	9874	θ	HUM (N=29172)	1250001
0.00278045710945379	9323	θ	HUM (N=29172)	1260001
0.0019981389905739	9772	θ	HUM (N=29172)	1270001
0.00276913045216521	9969	θ	HUM (N=29172)	1280001
0.00278736681063022	7609	θ	HUM (N=29172)	1290001
0.00265000036337442	9909	θ	HUM (N=29172)	1300001
0.00354296643671819	9597	θ	HUM (N=29172)	1310001
0.00333674018323232	9383	θ	HUM (N=29172)	1320001
0.0032499914997606	9996	θ	HUM (N=29172)	1330001
0.00349168041049034	9979	θ	HUM (N=29172)	1340001
0.00290688128283948	8628	θ	HUM (N=29172)	1350001
0.00264541985363863	5663	θ	HUM (N=29172)	1360001
0.00192466823315596	3061	θ	HUM (N=29172)	1370001
0.00204678239456536	9622	θ	HUM (N=29172)	1380001
0.00315183472164048	9346	θ	HUM (N=29172)	1390001
0.0027690176110172	7781	θ	HUM (N=29172)	1400001
0.00391897420601822	9750	θ	HUM (N=29172)	1410001
0.00310294026139876	9873	θ	HUM (N=29172)	1420001
0.00300684065233653	8845	θ	HUM (N=29172)	1430001
0.00219796422441961	9726	θ	HUM (N=29172)	1440001
0.00343643333612955	8523	θ	HUM (N=29172)	1450001
0.00216029561578019	9506	θ	HUM (N=29172)	1460001
0.00200060324103697	9171	θ	HUM (N=29172)	1470001
0.00197719038043096	9535	θ	HUM (N=29172)	1480001
0.00300060211036436	8639	θ	HUM (N=29172)	1490001
0.002362887483553	9902	θ	HUM (N=29172)	1500001
0.0027754455048738	8794	θ	HUM (N=29172)	1510001
0.00189301237849274	9959	θ	HUM (N=29172)	1520001
0.00250925374780767	8989	θ	HUM (N=29172)	1530001
0.0026932157539156	10000	θ	HUM (N=29172)	1540001
0.00309719811700294	10000	θ	HUM (N=29172)	1550001
0.00245236245416215	9678	θ	HUM (N=29172)	1560001
0.00247588433453643	9858	θ	HUM (N=29172)	1570001
0.00275944237081517	8113	θ	HUM (N=29172)	1580001
