spAbbr	bin	posCM	femaleFreq1	femaleFreq2	maleFreq1	maleFreq2	avgDiff	pval	pvalAdj	sign0.05	sign0.1	bfCorr0.05	bfCorr0.1	diff
PTT	10	10.6659434149789	3960	3606	1516	1394	0.0971186888712662	0.827176920650341	1	ns	ns	0.0025	0.005	0.00243193232883954
PTT	11	11.7325377564768	5348	5702	2004	2246	0.0971945701357466	0.169826332009043	1	ns	ns	0.0025	0.005	0.0124524886877828
PTT	12	12.7991320979747	2677	3173	1030	1220	0.0844102564102564	1	1	ns	ns	0.0025	0.005	-0.000170940170940159
PTT	13	13.8657264394726	4917	4677	1917	1773	0.0897644361058995	0.473399100014297	1	ns	ns	0.0025	0.005	-0.00700437773608509
PTT	14	14.9323207809705	9195	8121	3540	3120	0.0870524370524371	0.953918392113562	1	ns	ns	0.0025	0.005	-0.000519750519750506
PTT	15	15.9989151224684	10809	11837	4120	4590	0.0824428155082575	0.503495885551449	1	ns	ns	0.0025	0.005	0.00428331714210012
PTT	16	17.0655094639663	6502	6264	2522	2388	0.0850383832053893	0.614342469057232	1	ns	ns	0.0025	0.005	-0.00432398558671476
PTT	17	18.1321038054642	10211	11343	3909	4381	0.0894497541059664	0.736500012979484	1	ns	ns	0.0025	0.005	0.00220840679224271
PTT	18	19.198698146962	13916	14892	5347	5733	0.0852749236323243	0.937592398987639	1	ns	ns	0.0025	0.005	0.000479033601777312
PTT	19	20.2652924884599	8383	9687	3216	3734	0.0798339789706696	0.876290083208237	1	ns	ns	0.0025	0.005	0.00118428334255671
PTT	20	21.3318868299578	11340	11228	4360	4320	0.0727756114852889	0.979848350803329	1	ns	ns	0.0025	0.005	0.000177242112725962
PTV	1	1.06603747857298	1077	1155	890	970	0.102060931899642	0.801612402566782	1	ns	ns	0.0025	0.005	0.00403225806451613
PTV	2	2.13207495714595	846	846	673	737	0.138770685579196	0.220096978935752	1	ns	ns	0.0025	0.005	0.0226950354609929
PTV	3	3.19811243571893	793	695	654	586	0.124865591397849	0.787474363326396	1	ns	ns	0.0025	0.005	0.00551075268817203
PTV	4	4.2641499142919	258	210	228	162	0.146153846153846	0.333605028661492	1	ns	ns	0.0025	0.005	-0.0333333333333333
PTV	5	5.33018739286488	473	595	375	515	0.124906367041198	0.359693810936152	1	ns	ns	0.0025	0.005	0.0215355805243446
PTV	6	6.39622487143785	184	188	176	134	0.132258064516129	0.0645022192457975	1	ns	ns	0.0025	0.005	-0.0731182795698925
PTV	7	7.46226235001083	1416	1248	1208	1012	0.108108108108108	0.387346140166049	1	ns	ns	0.0025	0.005	-0.0126126126126126
PTV	8	8.5282998285838	895	881	769	711	0.137725225225225	0.378960425773849	1	ns	ns	0.0025	0.005	-0.0156531531531531
PTV	9	9.59433730715678	1238	1438	1001	1229	0.13677130044843	0.342265377403475	1	ns	ns	0.0025	0.005	0.0137518684603886
PTV	10	10.6603747857298	688	728	565	615	0.133898305084746	0.722796876143362	1	ns	ns	0.0025	0.005	0.00706214689265539
PTV	11	11.7264122643027	1031	925	840	790	0.126073619631902	0.501986181552287	1	ns	ns	0.0025	0.005	0.0117586912065439
PTV	12	12.7924497428757	1261	1199	1047	1003	0.126585365853659	0.904788018978031	1	ns	ns	0.0025	0.005	0.00186991869918696
PTV	13	13.8584872214487	391	449	330	370	0.10547619047619	0.837527772854876	1	ns	ns	0.0025	0.005	-0.00595238095238093
PTV	14	14.9245247000217	689	811	558	692	0.131866666666667	0.513233448565071	1	ns	ns	0.0025	0.005	0.0129333333333333
PTV	15	15.9905621785946	1956	1800	1595	1535	0.11863684771033	0.357603256425326	1	ns	ns	0.0025	0.005	0.0111821086261981
PTV	16	17.0565996571676	1450	1526	1226	1254	0.157661290322581	0.605449210425468	1	ns	ns	0.0025	0.005	-0.00712365591397851
PTV	17	18.1226371357406	1077	1179	924	956	0.10186170212766	0.381665980003515	1	ns	ns	0.0025	0.005	-0.0140957446808511
PTV	18	19.1886746143136	2184	2040	1865	1655	0.108996212121212	0.26305583958763	1	ns	ns	0.0025	0.005	-0.0127840909090908
PTV	19	20.2547120928865	794	754	653	637	0.120413436692506	0.734403683804032	1	ns	ns	0.0025	0.005	0.00671834625322987
PTV	20	21.3207495714595	2725	2627	2206	2254	0.116928251121076	0.155830624242826	1	ns	ns	0.0025	0.005	0.0145366218236174
PAB	1	0.971668135326263	4576	4262	1023	941	0.144772572980312	0.822243285882751	1	ns	ns	0.0025	0.005	-0.00311156370219501
PAB	2	1.94333627065253	4403	4237	983	937	0.158506944444444	0.859802172943281	1	ns	ns	0.0025	0.005	-0.00237268518518519
PAB	3	2.91500440597879	2597	2641	611	553	0.17401680030546	0.0747274309917215	1	ns	ns	0.0025	0.005	-0.0291141657121039
PAB	4	3.88667254130505	2592	2556	578	566	0.141996891996892	0.921910008923513	1	ns	ns	0.0025	0.005	-0.00174825174825166
PAB	5	4.85834067663131	2709	2259	595	509	0.161936392914654	0.713342538140641	1	ns	ns	0.0025	0.005	0.0063405797101449
PAB	6	5.83000881195758	2104	2036	458	462	0.147584541062802	0.58458246776182	1	ns	ns	0.0025	0.005	0.0103864734299517
PAB	7	6.80167694728384	1868	1858	423	405	0.161164787976382	0.644781678870314	1	ns	ns	0.0025	0.005	-0.00952764358561464
PAB	8	7.7733450826101	2066	2236	455	501	0.167480241748024	0.830007798016956	1	ns	ns	0.0025	0.005	0.00430032543003256
PAB	9	8.74501321793636	3555	2997	789	667	0.194368131868132	0.976804138699078	1	ns	ns	0.0025	0.005	0.000686813186813184
PAB	10	9.71668135326263	3548	3706	773	839	0.180796801764544	0.49116899652363	1	ns	ns	0.0025	0.005	0.00958092087124346
PAB	11	10.6883494885889	2958	2748	677	591	0.172362425517	0.320196307473806	1	ns	ns	0.0025	0.005	-0.0155099894847529
PAB	12	11.6600176239152	1083	1257	239	281	0.148504273504274	0.92255330916321	1	ns	ns	0.0025	0.005	0.00320512820512825
PAB	13	12.6316857592414	1610	1900	358	422	0.179487179487179	1	1	ns	ns	0.0025	0.005	-0.000284900284900247
PAB	14	13.6033538945677	3346	3188	748	704	0.156871747780839	0.839056244099642	1	ns	ns	0.0025	0.005	-0.00306091215182125
PAB	15	14.5750220298939	1167	1047	256	236	0.15672990063234	0.803025103407512	1	ns	ns	0.0025	0.005	0.00677506775067749
PAB	16	15.5466901652202	5199	5115	1153	1139	0.190954043048284	0.944769282619306	1	ns	ns	0.0025	0.005	0.00101803374054676
PAB	17	16.5183583005465	6066	6624	1358	1462	0.155949566587864	0.738856652759018	1	ns	ns	0.0025	0.005	-0.00354609929078009
PAB	18	17.4900264358727	5444	4834	1191	1093	0.143559058182526	0.487013148946916	1	ns	ns	0.0025	0.005	0.00822144386067325
PAB	19	18.461694571199	9258	10290	2063	2281	0.151652342950685	0.879850600857923	1	ns	ns	0.0025	0.005	-0.00130448127685695
PAB	20	19.4333627065253	16160	16582	3622	3654	0.181723779854621	0.516944024816471	1	ns	ns	0.0025	0.005	-0.00424531183189786
