spAbbr	cMmbAvgREC	pi	nCall
HUM	2.03293511615256	28.71993613	8639
HUM	2.75474452698617	27.30864088	9902
HUM	4.25102836879433	22.13452398	8794
HUM	4.25082818719097	14.40102883	9959
HUM	4.25129226793022	21.51068725	8989
HUM	8.98239452903977	37.26024049	10000
HUM	9.68651974200919	29.30906774	10000
HUM	9.68651974200919	28.2574715	9678
HUM	9.68651974200919	17.61032807	9858
HUM	8.33714277605135	23.84068783	8113
HUM	8.19577511300076	14.88557129	9135
HUM	8.19577511300076	34.35154296	9591
HUM	8.19577511300076	25.42064714	9464
HUM	8.19577511300076	27.78131926	9619
HUM	7.42783881471778	19.28155924	7026
HUM	7.08029347744502	19.86485974	8804
HUM	7.07957186673461	27.72480913	9885
HUM	7.07970553966741	34.92989351	9450
HUM	7.24280652679311	21.65385955	9480
HUM	9.88128793597707	22.94239158	9188
HUM	13.1486803805868	31.4450444	7861
HUM	13.1541407061267	9.13716177	4070
HUM	13.1541407061267	19.30946309	9604
HUM	13.1541407061267	16.98657861	9859
HUM	17.2161699290354	31.50664981	9071
HUM	8.00075829655504	14.16023776	10000
HUM	6.06712177141285	18.15370176	10000
HUM	17.6021016237569	20.60682074	8632
HUM	15.1147306918872	27.30314644	9799
HUM	6.46137991987732	16.63055586	9830
HUM	3.13084456348154	17.7390659	9918
HUM	3.92407520947924	19.06594864	9479
HUM	4.73877310358106	24.86876131	7723
HUM	4.73877310358106	22.87898497	10000
HUM	4.73877310358106	26.36225132	9769
HUM	7.76602529478747	16.34754797	9897
HUM	11.6387869333823	14.3698352	9389
HUM	11.6387869333823	18.33092314	9813
HUM	11.4856140333225	16.84037609	10000
HUM	8.11661659239827	24.09481905	9088
HUM	7.60434078033563	23.38024315	9644
HUM	3.87524516978728	22.38414463	9555
HUM	3.27913940396396	9.51309795	7772
HUM	3.27913940396396	20.03558265	10000
HUM	3.27913940396396	16.46974927	10000
HUM	3.27913940396396	18.94743673	8676
HUM	3.27913940396396	15.20227777	8984
HUM	3.27913940396396	15.7823324	10000
